"","Date","Inflation","ExchangeRate","InterestRates","index.value"
"2137",2013-11-06,7.3579420238989,85.3736,8.5,134.7
"2138",2013-11-07,7.3579420238989,85.3069,8.5,135.29
"2139",2013-11-08,7.3579420238989,85.5153,8.5,134.71
"2140",2013-11-09,7.3579420238989,85.5153,8.5,134.71
"2141",2013-11-10,7.3579420238989,85.5153,8.5,134.71
"2142",2013-11-11,7.3579420238989,85.5872,8.5,134.52
"2143",2013-11-12,7.3579420238989,85.7,8.5,134.64
"2144",2013-11-13,7.3579420238989,86.0042,8.5,134.69
"2145",2013-11-14,7.3579420238989,86.2569,8.5,135.11
"2146",2013-11-15,7.3579420238989,86.2819,8.5,135.13
"2147",2013-11-16,7.3579420238989,86.2819,8.5,135.13
"2148",2013-11-17,7.3579420238989,86.2819,8.5,135.13
"2149",2013-11-18,7.3579420238989,86.4556,8.5,135.57
"2150",2013-11-19,7.3579420238989,86.4658,8.5,135.67
"2151",2013-11-20,7.3579420238989,86.3075,8.5,136.26
"2152",2013-11-20,7.3579420238989,86.3075,8.5,136.26
"2153",2013-11-21,7.3579420238989,86.1667,8.5,138.14
"2154",2013-11-21,7.3579420238989,86.1667,8.5,138.14
"2155",2013-11-21,7.3579420238989,86.1667,8.5,138.14
"2156",2013-11-22,7.3579420238989,86.2972,8.5,138.83
"2157",2013-11-23,7.3579420238989,86.2972,8.5,138.83
"2158",2013-11-24,7.3579420238989,86.2972,8.5,138.83
"2159",2013-11-25,7.3579420238989,86.6842,8.5,140.08
"2160",2013-11-26,7.3579420238989,86.6528,8.5,141.08
"2161",2013-11-27,7.3579420238989,86.8889,8.5,141.86
"2162",2013-11-28,7.3579420238989,86.9875,8.5,142.58
"2163",2013-11-29,7.3579420238989,86.9931,8.5,141.17
"2164",2013-11-29,7.3579420238989,86.9931,8.5,141.17
"2165",2013-11-29,7.3579420238989,86.9931,8.5,141.17
"2166",2013-11-30,7.3579420238989,86.9931,8.5,141.17
"2167",2013-12-01,7.14850485622622,86.9931,8.5,141.17
"2168",2013-12-02,7.14850485622622,86.6506,8.5,140.84
"2169",2013-12-03,7.14850485622622,86.7192,8.5,140.66
"2170",2013-12-04,7.14850485622622,86.7139,8.5,139.86
"2171",2013-12-05,7.14850485622622,86.4886,8.5,137.91
"2172",2013-12-06,7.14850485622622,86.5589,8.5,136.7
"2173",2013-12-07,7.14850485622622,86.5589,8.5,136.7
"2174",2013-12-08,7.14850485622622,86.5589,8.5,136.7
"2175",2013-12-09,7.14850485622622,86.625,8.5,136.22
"2176",2013-12-09,7.14850485622622,86.625,8.5,136.22
"2177",2013-12-10,7.14850485622622,86.6511,8.5,134.62
"2178",2013-12-11,7.14850485622622,86.6789,8.5,133.92
"2179",2013-12-12,7.14850485622622,86.6789,8.5,133.92
"2180",2013-12-13,7.14850485622622,86.6789,8.5,133.92
"2181",2013-12-14,7.14850485622622,86.6789,8.5,133.92
