Code,MarketDate,MarketPrice,YieldToMaturity,CleanPrice
IFB1/2017/12,12/31/2020, 111.10910 , 10.59030 , 106.67920 
IFB1/2017/12,1/8/2021, 111.30850 , 10.60460 , 106.60380 
IFB1/2017/12,1/15/2021, 111.64630 , 10.57300 , 106.70120 
IFB1/2017/12,1/22/2021, 111.32620 , 10.73210 , 106.14080 
IFB1/2017/12,1/29/2021, 111.76660 , 10.67900 , 106.27210 
IFB1/2017/12,1/31/2021, 111.76660 , 10.67900 , 106.27210 
IFB1/2017/12,2/5/2021, 112.16110 , 10.61440 , 106.49490 
IFB1/2017/12,2/12/2021, 111.87400 , 10.75570 , 105.96740 
IFB1/2017/12,2/19/2021, 112.21800 , 10.72270 , 106.07100 
IFB1/2017/12,2/26/2021, 106.66350 , 10.60670 , 106.45750 
IFB1/2017/12,2/28/2021, 106.66350 , 10.60670 , 106.45750 
IFB1/2017/12,3/5/2021, 106.72360 , 10.63220 , 106.34590 
IFB1/2017/12,3/12/2021, 106.40570 , 10.78140 , 105.78760 
IFB1/2017/12,3/19/2021, 106.73170 , 10.75000 , 105.87320 
IFB1/2017/12,3/26/2021, 107.21170 , 10.67500 , 106.11280 
IFB1/2017/12,3/31/2021, 107.40380 , 10.66400 , 106.13320 
IFB1/2017/12,4/9/2021, 107.77190 , 10.63790 , 106.19220 
IFB1/2017/12,4/16/2021, 107.72080 , 10.71390 , 105.90070 
IFB1/2017/12,4/23/2021, 107.59230 , 10.81330 , 105.53190 
IFB1/2017/12,4/30/2021, 108.16700 , 10.71020 , 105.86620 
IFB1/2017/12,5/7/2021, 109.46550 , 10.40000 , 106.92430 
IFB1/2017/12,5/13/2021, 109.08650 , 10.56110 , 106.33920 
IFB1/2017/12,5/21/2021, 109.07360 , 10.63640 , 106.05160 
IFB1/2017/12,5/28/2021, 109.52140 , 10.59650 , 106.15600 
IFB1/2017/12,5/31/2021, 109.52140 , 10.59650 , 106.15600 
IFB1/2017/12,6/4/2021, 109.62180 , 10.60360 , 106.11910 
IFB1/2017/12,6/11/2021, 109.82280 , 10.60850 , 106.07970 
IFB1/2017/12,6/18/2021, 110.44580 , 10.48980 , 106.46230 
IFB1/2017/12,6/25/2021, 111.59230 , 10.21900 , 107.36840 
IFB1/2017/12,6/30/2021, 111.75030 , 10.21750 , 107.35470 
