HoldingsDate,AssetCategory,PurchaseValue,SaleValue, OpeningMarketValue , Creations , Redemptions ,, ClosingMarketValue , Units , UnitPrice , ActualPerformance , Weight , test_Weight , WeightedPerformance , BenchmarkReturn , BenchmarkWeight , WeightedBenchmarkReturn ,, ActiveWeight , ActiveReturn ,, AllocationEffect , SelectionEffect , InteractionEffect ,, ActiveManagementEffect , test_Units , difUnits , test_UnitPRice , difUnitPrice , test_ActualPerformance , diffActualPerformance , test_Weight , diffWeights , test_weightedPerformance , diffweightedPerformance , test_BenchmarkPerf , diffBenchmarkPerf , test_BenchmarkWeight , diffBenchmarkWeight , test_WeightedBMPerformance , diffWeightedBMPerf , test_ActiveWeight , diffActiveWeight , test_ActiveReturn , diffActiveReturn , test_SelectionEffect , diffSelectionEffect , test_AllocationEffect , diffAllocationEffect , test_InteractionEffect , diffInteractionEffect , test_ActiveManagementEffect , diffActiveManagement 
7/1/2019,Time Deposits,0,0," 9,081,940.50000000 ", -  .000000 , -  .000000 ,," 9,084,016.30000000 "," 9,081,940.50000000 ", 1.00022856 , 0.00022856 , 0.00381572 , 0.00381530 , 0.00000087 , 0.02166393 , 0.25000000 , 0.54200000 ,, -24.61800000 , -0.51900000 , -0.02143536 , -0.53300000 , -0.53600000 , 0.55000000 , 0.00550000 , -1.06900000 ," 9,081,940.50000000 ", -  .000000 , 1.00022856 , 0.00000000 , 0.00022856 , 0.00000000 , 0.00381530 , -0.00000042 , 0.00000087 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.24618470 , -0.00000470 , -0.02143536 , -0.01624536 , -0.00535884 , 0.00000116 , -0.00533333 , -0.00000333 , -0.01074319 , -0.01624319 , -0.01069217 , -0.00000217 
7/1/2019,Time Deposits,0,0," 10,104,794.80000000 ", -  .000000 , -  .000000 ,," 10,106,849.60000000 "," 10,104,794.80000000 ", 1.00020335 , 0.00020335 , 0.00424546 , 0.00424489 , 0.00000086 , 0.02166393 , 0.25000000 , 0.54200000 ,, -24.57500000 , -0.52100000 , -0.02146058 , -0.53200000 , -0.53700000 , 0.54800000 ,, -1.06900000 ," 10,104,794.80000000 ", -  .000000 , 1.00020335 , 0.00000000 , 0.00020335 , 0.00000000 , 0.00424489 , -0.00000057 , 0.00000086 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.24575511 , -0.00000511 , -0.02146058 , -0.01625058 , -0.00536514 , 0.00000486 , -0.00532402 , -0.00000402 , -0.01077141 , -0.01625141 , -0.01068916 , 0.00000084 
7/1/2019,Time Deposits,0,0," 110,358,630.30000000 ", -  .000000 , -  .000000 ,," 110,379,726.20000000 "," 110,358,630.30000000 ", 1.00019116 , 0.00019116 , 0.04636642 , 0.04635964 , 0.00000886 , 0.02166393 , 0.25000000 , 0.54200000 ,, -20.36300000 , -0.52200000 , -0.02147277 , -0.44100000 , -0.53700000 , 0.45500000 ,, -0.97800000 ," 110,358,630.30000000 ", -  .000000 , 1.00019116 , -0.00000000 , 0.00019116 , -0.00000000 , 0.04635964 , -0.00000678 , 0.00000886 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.20364036 , -0.00001036 , -0.02147277 , -0.01625277 , -0.00536819 , 0.00000181 , -0.00441165 , -0.00000165 , -0.01169293 , -0.01624293 , -0.00977984 , 0.00000016 
7/1/2019,Time Deposits,0,0," 169,104,003.40000000 ", -  .000000 , -  .000000 ,," 169,149,095.50000000 "," 169,104,003.40000000 ", 1.00026665 , 0.00026665 , 0.07104788 , 0.07104286 , 0.00001895 , 0.02166393 , 0.25000000 , 0.54200000 ,, -17.89500000 , -0.51500000 , -0.02139727 , -0.38800000 , -0.53500000 , 0.40800000 ,, -0.92300000 ," 169,104,003.40000000 ", -  .000000 , 1.00026665 , 0.00000000 , 0.00026665 , 0.00000000 , 0.07104286 , -0.00000503 , 0.00001894 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.17895714 , -0.00000714 , -0.02139727 , -0.01624727 , -0.00534932 , 0.00000068 , -0.00387691 , 0.00000309 , -0.01217104 , -0.01625104 , -0.00922623 , 0.00000377 
7/1/2019,Time Deposits,0,0," 52,357,727.69000000 ", -  .000000 , -  .000000 ,," 52,395,043.95000000 "," 52,357,727.69000000 ", 1.00071272 , 0.00071272 , 0.02199774 , 0.02200599 , 0.00001568 , 0.02166393 , 0.25000000 , 0.54200000 ,, -22.80000000 , -0.47000000 , -0.02095121 , -0.49400000 , -0.52400000 , 0.54700000 ,, -1.01800000 ," 52,357,727.69000000 ", -  .000000 , 1.00071272 , 0.00000000 , 0.00071272 , 0.00000000 , 0.02200599 , 0.00000825 , 0.00001568 , 0.00000001 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.22799401 , 0.00000599 , -0.02095121 , -0.01625121 , -0.00523780 , 0.00000220 , -0.00493925 , 0.00000075 , -0.01077416 , -0.01624416 , -0.01017705 , 0.00000295 
7/1/2019,Time Deposits,0,0," 210,520,544.00000000 ", -  .000000 , -  .000000 ,," 210,575,338.50000000 "," 210,520,544.00000000 ", 1.00026028 , 0.00026028 , 0.08844876 , 0.08844194 , 0.00002302 , 0.02166393 , 0.25000000 , 0.54200000 ,, -16.15500000 , -0.51600000 , -0.02140364 , -0.35000000 , -0.53500000 , 0.37000000 ,, -0.88500000 ," 210,520,544.00000000 ", -  .000000 , 1.00026028 , 0.00000000 , 0.00026028 , 0.00000000 , 0.08844194 , -0.00000682 , 0.00002302 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.16155806 , -0.00000806 , -0.02140364 , -0.01624364 , -0.00535091 , -0.00000091 , -0.00349998 , 0.00000002 , -0.01255275 , -0.01625275 , -0.00885089 , -0.00000089 
7/1/2019,Time Deposits,0,0," 246,257,534.60000000 ", -  .000000 , -  .000000 ,," 246,320,548.30000000 "," 246,257,534.60000000 ", 1.00025589 , 0.00025589 , 0.10346341 , 0.10345497 , 0.00002647 , 0.02166393 , 0.25000000 , 0.54200000 ,, -14.65400000 , -0.51600000 , -0.02140804 , -0.31700000 , -0.53500000 , 0.33700000 ,, -0.85300000 ," 246,257,534.60000000 ", -  .000000 , 1.00025589 , 0.00000000 , 0.00025589 , 0.00000000 , 0.10345497 , -0.00000843 , 0.00002647 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.14654503 , -0.00000503 , -0.02140804 , -0.01624804 , -0.00535201 , -0.00000201 , -0.00317474 , -0.00000474 , -0.01288129 , -0.01625129 , -0.00852675 , 0.00000325 
7/1/2019,Time Deposits,0,0," 51,819,428.92000000 ", -  .000000 , -  .000000 ,," 51,854,917.77000000 "," 51,819,428.92000000 ", 1.00068486 , 0.00068486 , 0.02177158 , 0.02177914 , 0.00001491 , 0.02166393 , 0.25000000 , 0.54200000 ,, -22.82300000 , -0.47300000 , -0.02097907 , -0.49400000 , -0.52400000 , 0.54600000 ,, -1.01900000 ," 51,819,428.92000000 ", -  .000000 , 1.00068486 , 0.00000000 , 0.00068486 , 0.00000000 , 0.02177914 , 0.00000756 , 0.00001492 , 0.00000001 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.22822086 , 0.00000914 , -0.02097907 , -0.01624907 , -0.00524477 , -0.00000477 , -0.00494416 , -0.00000416 , -0.01079014 , -0.01625014 , -0.01018893 , 0.00000107 
7/1/2019,Time Deposits,0,0," 20,541,237.78000000 ", -  .000000 , -  .000000 ,," 20,555,738.37000000 "," 20,541,237.78000000 ", 1.00070593 , 0.00070593 , 0.00863026 , 0.00863344 , 0.00000609 , 0.02166393 , 0.25000000 , 0.54200000 ,, -24.13700000 , -0.47100000 ,, -0.52300000 , -0.52400000 , 0.57600000 ,, -1.04700000 ," 20,541,237.78000000 ", -  .000000 , 1.00070593 , -0.00000000 , 0.00070593 , -0.00000000 , 0.00863344 , 0.00000318 , 0.00000609 , 0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.24136656 , 0.00000344 , -0.02095800 , -0.01624800 , -0.00523950 , 0.00000050 , -0.00522895 , 0.00000105 , -0.01048955 , -0.01624955 , -0.01046845 , 0.00000155 
7/1/2019,Time Deposits,0,0," 6,486,925.80000000 ", -  .000000 , -  .000000 ,," 6,488,565.50000000 "," 6,486,925.80000000 ", 1.00025277 , 0.00025277 , 0.00272544 , 0.00272521 , 0.00000069 , 0.02166393 , 0.25000000 , 0.54200000 ,, -24.72700000 , -0.51600000 , -0.54199931 , -0.53600000 , -0.53500000 , 0.55500000 ,, -1.07100000 ," 6,486,925.80000000 ", -  .000000 , 1.00025277 , -0.00000000 , 0.00025277 , -0.00000000 , 0.00272521 , -0.00000023 , 0.00000069 , -0.00000000 , 0.02166393 , -  .000000 , 0.25000000 , -  .000000 , 0.00541598 , -0.00000402 , -0.24727479 , -0.00000479 , -0.02141116 , -0.01625116 , -0.00535279 , -0.00000279 , -0.00535694 , 0.00000306 , -0.01070142 , -0.01625142 , -0.01070973 , 0.00000027 
