"","StockName","AssetCategory","AssetClass","OpeningMarketValue","Weight","Units","UnitPrice","HoldingsDate","Creations","Redemptions","BenchmarkWeight","WeightedBenchmarkReturn","ActiveWeight","ActiveReturn","AllocationEffect","SelectionEffect","InteractionEffect","ActiveManagementEffect","PresentInPortfolio","BenchmarkName","WeightedPerformance","BenchmarkReturn","ActualPerformance","ClosingMarketValue","weightCalc"
"1","NCBA Group Plc Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0.03,8.02085e-05,-3,0.155,-0.008,-0.003,0.167,-0.011,0,"Nairobi All Share Index",0,0.002673618,0.001633987,0,0
"2","Kenya Orchards Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"3","Scangroup Ltd Ord 1.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,5.882,0,0,5.882,0,0,"Nairobi All Share Index",0,0.002673618,0.058823529,0,0
"4","Family Bank Limited","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"5","E.A.Cables Ltd Ord 0.50","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,2.049,0,0,2.049,0,0,"Nairobi All Share Index",0,0.002673618,0.020491803,0,0
"6","E.A.Portland Cement Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,-9.375,0,0,-9.375,0,0,"Nairobi All Share Index",0,0.002673618,-0.09375,0,0
"7","Rea Vipingo Plantations Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0,0,0,0,0,0,"Nairobi All Share Index",0,0.002673618,0,0,0
"8","I&M Holdings Ltd Ord 1.00","Listed Equity","EQUITIES",429000,0.025574364,429000,1,"7/1/2019",0,0,0,0,2.557,0,0.007,0,-0.007,0.007,1,"Nairobi All Share Index",0,0.002673618,0,429000,0.000280794338492829
"9","Jubilee Holdings Ltd Ord 5.00","Listed Equity","EQUITIES",953606.35,0.056848195,953606.35,1,"7/1/2019",0,0,0.04,0.011,1.685,-0.011,0.005,-0.011,-0.005,-0.006,1,"Nairobi All Share Index",0,0.002673618,0,953606.35,0.000624166117088138
"10","Unga Group Ltd Ord 5.00","Listed Equity","Equities",0,0,0,0,"7/1/2019",0,0,0,0,0,0.455,0,0,0.455,0,0,"Nairobi All Share Index",0,0.002673618,0.004545455,0,0
