MarketDate,High,Low,MarketPrice,Safcom,SCB
1/2/2015,14.55,14.05,14.150,0,0
1/5/2015,14.30,14.00,14.050,-0.007092228,-0.002998503
1/6/2015,14.10,13.80,13.900,-0.010733556,0.005988042
1/7/2015,14.00,13.80,13.900,0,0.011869576
1/8/2015,13.90,13.60,13.750,-0.010850016,-0.002954212
1/9/2015,13.85,13.00,13.750,0,-0.002962965
1/12/2015,14.05,13.75,13.850,0.007246409,0.008862687
1/13/2015,15.00,14.00,14.700,0.059562261,-0.005899722
1/14/2015,15.00,14.20,14.850,0.010152371,-0.002962965
1/15/2015,14.85,14.50,14.600,-0.016978337,0.005917177
1/16/2015,14.90,14.50,14.850,0.016978337,-0.002954212
1/19/2015,14.85,14.35,14.550,-0.020408872,-0.005934736
1/20/2015,14.50,13.90,13.950,-0.042111485,0
1/21/2015,14.85,14.10,14.200,0.017762456,0
1/22/2015,14.50,14.10,14.200,0,0
1/23/2015,14.30,14.10,14.150,-0.003527341,0.014771317
1/26/2015,14.20,14.00,14.000,-0.010657294,-0.008836582
1/27/2015,14.20,14.00,14.100,0.007117468,0.008836582
1/28/2015,14.30,14.10,14.150,0.003539827,0.00292826
1/29/2015,14.20,14.10,14.100,-0.003539827,-0.00881063
1/30/2015,14.25,14.10,14.150,0.003539827,0.00588237
2/2/2015,14.30,14.10,14.250,0.007042283,-0.00588237
2/3/2015,14.50,14.20,14.300,0.003502631,0.00294551
2/4/2015,14.75,14.30,14.450,0.010434877,0
2/5/2015,14.75,14.45,14.550,0.006896579,0
2/6/2015,14.70,14.45,14.550,0,0.00293686
2/9/2015,15.00,14.50,14.800,0.017036187,0
2/10/2015,14.95,14.50,14.800,0,0
2/11/2015,14.95,14.60,14.850,0.003372684,0.017442303
2/12/2015,14.90,14.50,14.750,-0.006756782,-0.008683123
2/13/2015,14.95,14.85,14.850,0.006756782,0.00290276
2/16/2015,14.95,14.80,14.850,0,-0.00290276
2/17/2015,14.90,14.80,14.850,0,0.008683123
2/18/2015,15.10,14.85,14.950,0.006711435,0
2/19/2015,15.30,15.00,15.150,0.013289232,0.0028777
2/20/2015,15.50,15.15,15.350,0.013114942,0.002869442
2/23/2015,15.70,15.35,15.450,0.006493529,-0.002869442
2/24/2015,15.95,15.55,15.700,0.016051709,0.005730675
2/25/2015,16.00,15.70,15.900,0.012658397,0
2/26/2015,16.00,15.60,15.750,-0.009478744,0
2/27/2015,15.90,15.75,15.800,0.003169575,0.011363759
3/2/2015,16.00,15.25,15.650,-0.009539023,-0.005665738
3/3/2015,15.65,15.30,15.400,-0.016103408,0
3/4/2015,16.00,15.35,15.450,0.003241494,0
3/5/2015,15.80,15.55,15.700,0.016051709,0
3/6/2015,15.95,15.60,15.800,0.006349228,0
3/9/2015,15.80,15.40,15.550,-0.015949301,0.005665738
3/11/2015,16.00,15.75,15.850,0.019108862,0
3/12/2015,16.00,15.80,15.950,0.006289329,0
3/13/2015,16.00,15.50,15.800,-0.009448889,0.002820876
3/16/2015,15.80,15.60,15.650,-0.009539023,-0.002820876
3/17/2015,15.75,15.00,15.600,-0.003200003,-0.005665738
3/18/2015,15.90,15.65,15.750,0.009569451,-0.005698021
3/19/2015,15.95,15.75,15.900,0.009478744,-0.002861232
3/20/2015,15.95,15.80,15.850,-0.003149609,-0.029071815
3/23/2015,16.00,15.85,15.900,0.003149609,-0.023881732
3/24/2015,16.10,15.95,16.000,0.006269613,0.0443204
3/25/2015,16.25,16.00,16.100,0.00623055,-0.011628038
3/26/2015,17.00,16.10,16.450,0.021506205,-0.005865119
3/27/2015,17.50,16.50,16.600,0.009077218,-0.008862687
3/30/2015,16.95,16.50,16.700,0.006006024,0.023461487
3/31/2015,17.40,16.80,17.050,0.020741484,-0.00290276
4/1/2015,17.40,16.80,17.000,-0.00293686,0.00290276
4/2/2015,17.05,15.85,16.600,-0.023810649,-0.020498522
4/7/2015,16.60,15.75,15.900,-0.043083586,-0.005934736
4/8/2015,16.20,15.85,15.950,0.00313972,0
4/9/2015,16.50,16.15,16.350,0.024769068,0.008888947
4/10/2015,16.35,15.75,15.900,-0.027908788,0.00881063
4/13/2015,16.35,15.90,16.000,0.006269613,-0.00292826
4/14/2015,16.35,16.00,16.100,0.00623055,0.00292826
4/15/2015,16.50,16.05,16.300,0.012345836,0.014514043
4/16/2015,17.00,16.35,16.750,0.02723315,-0.005780363
4/17/2015,17.50,16.65,17.200,0.026511126,0
4/20/2015,17.40,17.00,17.250,0.00290276,-0.00290276
4/21/2015,17.40,17.05,17.200,-0.00290276,0
4/22/2015,17.20,17.00,17.050,-0.00875918,0
4/23/2015,17.40,17.05,17.200,0.00875918,0.00290276
4/24/2015,17.40,17.15,17.300,0.005797118,0.005780363
4/27/2015,17.30,17.05,17.100,-0.011628038,0
4/28/2015,17.40,17.00,17.200,0.00583092,-0.002886005
4/29/2015,17.50,17.20,17.300,0.005797118,0.005763705
4/30/2015,17.50,17.30,17.400,0.005763705,-0.011560822
5/4/2015,17.50,17.35,17.450,0.002869442,-0.069200534
5/5/2015,17.65,17.40,17.500,0.002861232,0.024616628
5/6/2015,17.90,17.50,17.550,0.002853069,0.009077218
5/7/2015,17.70,16.95,17.150,-0.023055776,-0.030583423
5/8/2015,17.55,16.95,17.050,-0.00584797,-0.00623055
5/11/2015,17.15,16.75,16.900,-0.008836582,0
5/12/2015,16.90,16.25,16.650,-0.014903406,0
5/13/2015,16.50,15.85,16.100,-0.033590944,0
5/14/2015,16.45,16.20,16.350,0.015408625,-0.022117805
5/15/2015,16.50,16.20,16.350,0,0.022117805
5/18/2015,16.70,16.35,16.500,0.009132484,-0.048009219
5/19/2015,16.75,16.50,16.600,0.006042314,0.044879326
5/20/2015,16.70,16.35,16.450,-0.009077218,0.003129893
5/21/2015,16.55,16.25,16.300,-0.009160369,0
5/22/2015,16.30,16.10,16.200,-0.006153866,0
5/25/2015,16.30,15.95,16.000,-0.01242252,-0.041473248
5/27/2015,15.60,15.00,15.200,-0.051293294,0.006493529
5/28/2015,15.70,15.20,15.550,0.022765211,-0.009756175
5/29/2015,16.80,15.60,15.850,0.019108862,-0.013158085
6/2/2015,16.90,15.85,16.500,0.040190881,-0.044000329
6/3/2015,16.70,16.05,16.400,-0.006079046,-0.04965559
6/4/2015,16.70,16.00,16.450,0.003044142,0.03220314
6/5/2015,16.65,16.10,16.350,-0.00609758,-0.017762456
6/8/2015,16.35,15.90,16.100,-0.015408625,0
6/9/2015,16.30,16.00,16.050,-0.003110422,0
6/10/2015,16.10,16.00,16.050,0,0.021277398
6/11/2015,16.05,16.00,16.050,0,0.041242959
6/12/2015,16.25,16.05,16.050,0,0.003361348
6/15/2015,16.15,16.05,16.100,0.003110422,-0.01011813
6/16/2015,16.25,16.00,16.100,0,-0.003395589
6/17/2015,16.20,16.00,16.050,-0.003110422,0.013513719
6/18/2015,16.10,16.00,16.050,0,0.003350087
6/19/2015,16.10,16.05,16.050,0,0.003338901
6/22/2015,16.70,15.90,16.350,0.018519048,0
6/23/2015,16.10,15.90,16.000,-0.021639175,0.00332779
6/24/2015,16.20,16.05,16.050,0.003120127,0.009917437
6/25/2015,16.20,16.00,16.100,0.003110422,0.003284075
6/26/2015,16.20,16.05,16.100,0,0.006535971
6/29/2015,16.40,16.10,16.300,0.012345836,-0.01642073
6/30/2015,16.60,16.30,16.450,0.009160369,-0.013333531
7/1/2015,16.60,16.45,16.500,0.003034904,-0.003361348
7/2/2015,16.55,16.30,16.450,-0.003034904,0.016694879
7/3/2015,16.50,16.30,16.350,-0.00609758,0.006600684
7/6/2015,16.50,16.20,16.350,0,0.013072082
7/7/2015,16.90,16.20,16.350,0,0.025642431
7/8/2015,16.60,15.90,16.150,-0.012307848,-0.015949301
7/10/2015,16.10,15.90,16.000,-0.009331327,0.037859411
7/13/2015,16.10,15.85,15.850,-0.009419222,-0.009331327
7/14/2015,16.00,15.10,15.750,-0.006329135,-0.025317808
7/15/2015,16.50,15.10,15.700,-0.003179653,-0.003210276
7/16/2015,15.75,15.20,15.250,-0.029081209,-0.022765211
7/17/2015,15.30,15.15,15.150,-0.006578971,-0.003294896
7/20/2015,15.45,15.10,15.300,0.009852296,0
7/21/2015,16.00,15.25,15.500,0.012987196,-0.003305788
7/22/2015,15.75,15.30,15.550,0.003220615,-0.006644543
7/23/2015,16.00,15.25,15.450,-0.006451635,-0.006688988
7/24/2015,15.50,15.15,15.300,-0.009756175,-0.01011813
7/27/2015,15.50,15.15,15.450,0.009756175,-0.030983546
7/28/2015,15.50,15.30,15.450,0,-0.007017573
7/29/2015,15.40,15.10,15.200,-0.016313575,-0.003527341
7/30/2015,15.25,14.90,14.950,-0.016584128,-0.021429391
7/31/2015,15.00,14.05,14.400,-0.037483093,-0.025595547
8/3/2015,14.50,14.10,14.150,-0.017513582,-0.022472856
8/4/2015,14.20,14.00,14.000,-0.010657294,0.003780723
8/5/2015,14.15,13.60,13.950,-0.003577821,0
8/6/2015,14.25,13.70,13.900,-0.003590668,0.022388995
8/7/2015,14.95,13.95,14.550,0.045702153,0.014652277
8/10/2015,15.50,14.70,15.350,0.05352448,0.0286758
8/11/2015,15.85,15.40,15.500,0.00972455,-0.010657294
8/12/2015,15.75,15.50,15.600,0.00643089,0
8/13/2015,15.60,15.30,15.450,-0.009661911,0
8/14/2015,15.50,15.00,15.000,-0.029558802,0
8/17/2015,15.10,14.65,14.900,-0.006688988,0.038533664
8/18/2015,15.00,14.70,14.850,-0.003361348,-0.042111485
8/19/2015,15.20,14.90,15.000,0.010050336,-0.018083675
8/20/2015,15.40,15.05,15.100,0.006644543,-0.029631798
8/21/2015,15.10,14.90,15.000,-0.006644543,-0.034420224
8/24/2015,15.00,13.95,14.350,-0.044300259,-0.00389864
8/25/2015,14.35,13.90,13.950,-0.028270434,-0.048009219
8/26/2015,13.95,12.80,13.450,-0.036500402,-0.012371292
8/27/2015,14.50,12.60,13.500,0.003710579,-0.020965128
8/28/2015,14.50,13.90,14.150,0.047024939,-0.004246291
8/31/2015,15.00,14.00,14.400,0.017513582,-0.008547061
9/1/2015,14.80,14.50,14.600,0.013793322,-0.012959145
9/2/2015,15.10,14.30,14.600,0,-0.013129291
9/4/2015,,,14.850,0.016978337,0.030371098
9/7/2015,14.85,14.50,14.600,-0.016978337,0.037740328
9/8/2015,14.75,14.50,14.600,0,0
9/9/2015,14.70,14.00,14.400,-0.013793322,-0.00826451
9/10/2015,14.60,14.05,14.400,0,0.020534602
9/11/2015,14.65,14.40,14.550,0.010362787,0
9/14/2015,14.90,14.55,14.700,0.0102565,-0.004073325
9/15/2015,15.40,14.65,15.150,0.030153038,-0.004089985
9/16/2015,15.20,14.80,14.950,-0.013289232,-0.016529302
9/17/2015,15.10,14.70,15.000,0.003338901,-0.004175371
9/18/2015,14.95,14.55,14.750,-0.016807118,-0.025425098
9/21/2015,15.20,14.50,14.900,0.01011813,-0.004301082
9/22/2015,15.20,14.60,15.000,0.006688988,-0.021787354
9/23/2015,15.20,15.00,15.100,0.006644543,0.008771986
9/25/2015,15.30,15.05,15.150,0.003305788,-0.022075952
9/28/2015,15.25,15.10,15.200,0.003294896,0.00445435
9/29/2015,15.25,14.80,15.150,-0.003294896,0.013245227
9/30/2015,15.25,15.00,15.200,0.003294896,0.013072082
10/1/2015,15.15,14.65,14.950,-0.016584128,-0.004338402
10/2/2015,14.95,14.20,14.450,-0.034016885,-0.013129291
10/5/2015,14.75,14.30,14.650,0.013745921,0.013129291
10/6/2015,14.75,14.55,14.650,0,0.008658063
10/7/2015,14.75,14.60,14.650,0,-0.021787354
10/8/2015,14.80,14.55,14.700,0.003407158,-0.004415018
10/9/2015,15.00,14.70,14.800,0.006779687,-0.022372298
10/12/2015,15.05,14.60,14.950,0.010084119,-0.013667639
10/13/2015,15.15,14.70,15.000,0.003338901,-0.056618894
10/14/2015,15.00,14.20,14.700,-0.020202707,-0.029558802
10/15/2015,15.00,14.20,14.400,-0.020619287,-0.025317808
10/16/2015,14.75,14.20,14.550,0.010362787,0.045120435
10/19/2015,14.75,14.20,14.750,0.013652089,-0.004914015
10/21/2015,14.75,14.20,15.000,0.016807118,-0.009901071
10/22/2015,15.10,14.75,14.950,-0.003338901,0
10/23/2015,15.10,14.75,14.950,0,0
10/26/2015,14.95,14.50,14.500,-0.03056265,0.009901071
10/27/2015,14.65,14.50,14.500,0,-0.004938282
10/29/2015,14.60,14.25,14.400,-0.006920443,-0.009950331
10/30/2015,14.60,14.25,14.350,-0.003478264,0
11/2/2015,14.50,14.25,14.350,0,0.004987542
11/3/2015,14.50,14.00,14.450,0.006944472,0.004962789
11/4/2015,14.50,14.05,14.300,-0.010434877,0.004938282
11/5/2015,15.10,14.35,14.950,0.044451763,0.029128273
11/6/2015,15.10,14.35,14.950,0,-0.004796172
11/9/2015,15.25,14.95,15.050,0.006666691,0
11/10/2015,15.75,15.05,15.450,0.026231012,-0.004819286
11/11/2015,16.00,15.45,15.850,0.025560497,0.009615459
11/12/2015,16.20,15.50,16.050,0.012539349,0.018957914
11/13/2015,16.50,15.85,16.000,-0.003120127,0.009345862
11/16/2015,16.15,16.05,16.050,0.003120127,0
11/17/2015,16.30,16.05,16.150,0.0062112,0.027524673
11/18/2015,16.50,16.10,16.250,0.006172859,-0.018265348
11/19/2015,16.60,16.20,16.500,0.015267472,0.013730193
11/20/2015,16.95,16.50,16.650,0.009049836,0.004535155
11/23/2015,16.95,16.35,16.750,0.005988042,0.00900907
11/24/2015,16.50,16.00,16.250,-0.030305349,0
11/25/2015,16.50,15.50,16.050,-0.012384059,-0.00449439
11/27/2015,16.10,14.50,15.350,-0.044593376,0.00449439
11/30/2015,15.90,15.30,15.550,0.012945165,-0.084161792
12/1/2015,15.75,15.50,15.650,0.006410278,0.061485084
12/2/2015,16.20,15.55,15.850,0.012698583,-0.042160811
12/3/2015,16.00,15.60,15.700,-0.009508788,-0.004796172
12/4/2015,15.85,15.50,15.550,-0.009600074,0
12/7/2015,15.95,15.60,15.700,0.009600074,-0.004819286
12/8/2015,16.00,15.70,15.950,0.015798117,-0.024451096
12/9/2015,16.25,15.75,16.100,0.009360443,0.004938282
12/10/2015,16.25,15.95,16.150,0.003100778,0.004914015
12/11/2015,16.40,16.00,16.250,0.006172859,-0.019802627
12/14/2015,16.65,16.00,16.400,0.009188426,0.004987542
12/15/2015,16.50,16.30,16.400,0,0
