TransactionDate,Name,MarketPrice,Returns,Result,,BenchMark Name,Value,,NSE
01-Apr-19,Safaricom Ltd Ord 0.05,27.9,,0,,Nairobi All Share Index,159.010,,0
02-Apr-19,Safaricom Ltd Ord 0.05,28.1,0.007168459,1,,Nairobi All Share Index,159.760,0.004716684,1
03-Apr-19,Safaricom Ltd Ord 0.05,28.1,0,0,,Nairobi All Share Index,160.080,0.002003005,1
04-Apr-19,Safaricom Ltd Ord 0.05,28.05,-0.001779359,0,,Nairobi All Share Index,159.580,-0.003123438,0
05-Apr-19,Safaricom Ltd Ord 0.05,28,-0.001782531,0,,Nairobi All Share Index,159.520,-0.000375987,0
06-Apr-19,Safaricom Ltd Ord 0.05,28,0,0,,Nairobi All Share Index,159.520,0,0
07-Apr-19,Safaricom Ltd Ord 0.05,28,0,0,,Nairobi All Share Index,159.520,0,0
08-Apr-19,Safaricom Ltd Ord 0.05,28,0,0,,Nairobi All Share Index,159.240,-0.001755266,0
09-Apr-19,Safaricom Ltd Ord 0.05,27.85,-0.005357143,0,,Nairobi All Share Index,158.390,-0.005337855,0
10-Apr-19,Safaricom Ltd Ord 0.05,27.75,-0.003590664,0,,Nairobi All Share Index,158.200,-0.001199571,0
11-Apr-19,Safaricom Ltd Ord 0.05,27.7,-0.001801802,0,,Nairobi All Share Index,158.290,0.0005689,1
12-Apr-19,Safaricom Ltd Ord 0.05,27.5,-0.007220217,0,,Nairobi All Share Index,157.910,-0.002400657,0
13-Apr-19,Safaricom Ltd Ord 0.05,27.5,0,0,,Nairobi All Share Index,157.910,0,0
14-Apr-19,Safaricom Ltd Ord 0.05,27.5,0,0,,Nairobi All Share Index,157.910,0,0
15-Apr-19,Safaricom Ltd Ord 0.05,27.3,-0.007272727,0,,Nairobi All Share Index,157.330,-0.003672978,0
16-Apr-19,Safaricom Ltd Ord 0.05,27.5,0.007326007,1,,Nairobi All Share Index,157.620,0.001843259,1
17-Apr-19,Safaricom Ltd Ord 0.05,27.85,0.012727273,1,,Nairobi All Share Index,158.780,0.007359472,1
18-Apr-19,Safaricom Ltd Ord 0.05,27.85,0,0,,Nairobi All Share Index,158.290,-0.003086031,0
19-Apr-19,Safaricom Ltd Ord 0.05,27.85,0,0,,Nairobi All Share Index,158.290,0,0
20-Apr-19,Safaricom Ltd Ord 0.05,27.85,0,0,,Nairobi All Share Index,158.290,0,0
21-Apr-19,Safaricom Ltd Ord 0.05,27.85,0,0,,Nairobi All Share Index,158.290,0,0
22-Apr-19,Safaricom Ltd Ord 0.05,27.85,0,0,,Nairobi All Share Index,158.290,0,0
23-Apr-19,Safaricom Ltd Ord 0.05,27.95,0.003590664,1,,Nairobi All Share Index,158.650,0.002274307,1
24-Apr-19,Safaricom Ltd Ord 0.05,28,0.001788909,1,,Nairobi All Share Index,158.890,0.001512764,1
25-Apr-19,Safaricom Ltd Ord 0.05,27.95,-0.001785714,0,,Nairobi All Share Index,158.730,-0.001006986,0
26-Apr-19,Safaricom Ltd Ord 0.05,27.95,0,0,,Nairobi All Share Index,158.190,-0.003402003,0
27-Apr-19,Safaricom Ltd Ord 0.05,27.95,0,0,,Nairobi All Share Index,158.190,0,0
28-Apr-19,Safaricom Ltd Ord 0.05,27.95,0,0,,Nairobi All Share Index,158.190,0,0
29-Apr-19,Safaricom Ltd Ord 0.05,28,0.001788909,1,,Nairobi All Share Index,157.770,-0.002655035,0
30-Apr-19,Safaricom Ltd Ord 0.05,28.15,0.005357143,1,,Nairobi All Share Index,157.310,-0.002915637,0
01-May-19,Safaricom Ltd Ord 0.05,28.15,0,0,,Nairobi All Share Index,157.310,0,0
02-May-19,Safaricom Ltd Ord 0.05,29.55,0.04973357,1,,Nairobi All Share Index,161.000,0.023456869,1
03-May-19,Safaricom Ltd Ord 0.05,29.25,-0.010152284,0,,Nairobi All Share Index,160.190,-0.005031056,0
04-May-19,Safaricom Ltd Ord 0.05,29.25,0,0,,Nairobi All Share Index,160.190,0,0
05-May-19,Safaricom Ltd Ord 0.05,29.25,0,0,,Nairobi All Share Index,160.190,0,0
06-May-19,Safaricom Ltd Ord 0.05,28.65,-0.020512821,0,,Nairobi All Share Index,157.790,-0.014982209,0
07-May-19,Safaricom Ltd Ord 0.05,28.6,-0.001745201,0,,Nairobi All Share Index,157.790,0,0
08-May-19,Safaricom Ltd Ord 0.05,28.15,-0.015734266,0,,Nairobi All Share Index,156.370,-0.008999303,0
09-May-19,Safaricom Ltd Ord 0.05,27.95,-0.007104796,0,,Nairobi All Share Index,155.380,-0.006331138,0
10-May-19,Safaricom Ltd Ord 0.05,27.45,-0.017889088,0,,Nairobi All Share Index,153.290,-0.013450895,0
11-May-19,Safaricom Ltd Ord 0.05,27.45,0,0,,Nairobi All Share Index,153.290,0,0
12-May-19,Safaricom Ltd Ord 0.05,27.45,0,0,,Nairobi All Share Index,153.290,0,0
13-May-19,Safaricom Ltd Ord 0.05,27.2,-0.009107468,0,,Nairobi All Share Index,150.270,-0.01970122,0
14-May-19,Safaricom Ltd Ord 0.05,26.4,-0.029411765,0,,Nairobi All Share Index,146.640,-0.024156518,0
15-May-19,Safaricom Ltd Ord 0.05,26.7,0.011363636,1,,Nairobi All Share Index,147.010,0.002523186,1
16-May-19,Safaricom Ltd Ord 0.05,26.25,-0.016853933,0,,Nairobi All Share Index,145.890,-0.007618529,0
17-May-19,Safaricom Ltd Ord 0.05,26.15,-0.003809524,0,,Nairobi All Share Index,145.330,-0.003838508,0
18-May-19,Safaricom Ltd Ord 0.05,26.15,0,0,,Nairobi All Share Index,145.330,0,0
19-May-19,Safaricom Ltd Ord 0.05,26.15,0,0,,Nairobi All Share Index,145.330,0,0
20-May-19,Safaricom Ltd Ord 0.05,26.2,0.001912046,1,,Nairobi All Share Index,145.180,-0.001032134,0
21-May-19,Safaricom Ltd Ord 0.05,26.35,0.005725191,1,,Nairobi All Share Index,146.140,0.006612481,1
22-May-19,Safaricom Ltd Ord 0.05,26.1,-0.009487666,0,,Nairobi All Share Index,145.690,-0.003079239,0
23-May-19,Safaricom Ltd Ord 0.05,26.15,0.001915709,1,,Nairobi All Share Index,145.830,0.000960944,1
24-May-19,Safaricom Ltd Ord 0.05,26.45,0.011472275,1,,Nairobi All Share Index,146.460,0.004320099,1
25-May-19,Safaricom Ltd Ord 0.05,26.45,0,0,,Nairobi All Share Index,146.460,0,0
26-May-19,Safaricom Ltd Ord 0.05,26.45,0,0,,Nairobi All Share Index,146.460,0,0
27-May-19,Safaricom Ltd Ord 0.05,26.8,0.013232514,1,,Nairobi All Share Index,147.400,0.006418135,1
28-May-19,Safaricom Ltd Ord 0.05,28.35,0.057835821,1,,Nairobi All Share Index,151.770,0.029647218,1
29-May-19,Safaricom Ltd Ord 0.05,28,-0.012345679,0,,Nairobi All Share Index,151.330,-0.002899124,0
30-May-19,Safaricom Ltd Ord 0.05,27.65,-0.0125,0,,Nairobi All Share Index,150.060,-0.008392255,0
31-May-19,Safaricom Ltd Ord 0.05,27.45,-0.007233273,0,,Nairobi All Share Index,149.920,-0.00093296,0
01-Jun-19,Safaricom Ltd Ord 0.05,27.45,0,0,,Nairobi All Share Index,149.920,0,0
02-Jun-19,Safaricom Ltd Ord 0.05,27.45,0,0,,Nairobi All Share Index,149.920,0,0
03-Jun-19,Safaricom Ltd Ord 0.05,27.65,0.007285974,1,,Nairobi All Share Index,150.460,0.003601921,1
