Name,Marketdate, Marketprice , Low , High , SharesTraded 
Safaricom Ltd Ord 0.05,"Wednesday, August 1, 2012", 3.80 , 3.80 , 3.85 ," 1,498,800.00 "
Safaricom Ltd Ord 0.05,"Thursday, August 2, 2012", 3.85 , 3.80 , 3.95 ," 5,910,500.00 "
Safaricom Ltd Ord 0.05,"Friday, August 3, 2012", 3.95 , 3.90 , 3.95 ," 19,477,600.00 "
Safaricom Ltd Ord 0.05,"Monday, August 6, 2012", 3.85 , 3.80 , 3.95 ," 1,271,300.00 "
Safaricom Ltd Ord 0.05,"Tuesday, August 7, 2012", 3.85 , 3.85 , 3.95 ," 3,607,600.00 "
Safaricom Ltd Ord 0.05,"Wednesday, August 8, 2012", 3.85 , 3.80 , 3.90 ," 2,406,700.00 "
Safaricom Ltd Ord 0.05,"Thursday, August 9, 2012", 3.90 , 3.80 , 3.95 ," 36,747,500.00 "
Safaricom Ltd Ord 0.05,"Friday, August 10, 2012", 3.80 , 3.70 , 3.90 ," 10,923,700.00 "
Safaricom Ltd Ord 0.05,"Monday, August 13, 2012", 3.75 , 3.70 , 3.90 ," 1,025,600.00 "
Safaricom Ltd Ord 0.05,"Tuesday, August 14, 2012", 3.75 , 3.70 , 3.85 ," 426,100.00 "
Safaricom Ltd Ord 0.05,"Wednesday, August 15, 2012", 3.75 , 3.70 , 3.85 ," 1,302,400.00 "
Safaricom Ltd Ord 0.05,"Thursday, August 16, 2012", 3.75 , 3.75 , 3.85 ," 791,600.00 "
Safaricom Ltd Ord 0.05,"Friday, August 17, 2012", 3.75 , 3.75 , 3.90 ," 1,264,500.00 "
Safaricom Ltd Ord 0.05,"Tuesday, August 21, 2012", 3.75 , 3.75 , 3.85 ," 571,500.00 "
Safaricom Ltd Ord 0.05,"Wednesday, August 22, 2012", 3.85 , 3.75 , 3.95 ," 2,932,000.00 "
Safaricom Ltd Ord 0.05,"Thursday, August 23, 2012", 3.90 , 3.90 , 3.95 ," 2,493,000.00 "
