Name,Marketdate, Marketprice , Low , High ,SharesTraded
Safaricom Ltd Ord 0.05,"Wednesday, August 1, 2012", 3.80 , 3.80 , 3.85 ,1498800.00
Safaricom Ltd Ord 0.05,"Thursday, August 2, 2012", 3.85 , 3.80 , 3.95 ,5910500.00
Safaricom Ltd Ord 0.05,"Friday, August 3, 2012", 3.95 , 3.90 , 3.95 ,19477600.00
Safaricom Ltd Ord 0.05,"Monday, August 6, 2012", 3.85 , 3.80 , 3.95 ,1271300.00
Safaricom Ltd Ord 0.05,"Tuesday, August 7, 2012", 3.85 , 3.85 , 3.95 ,3607600.00
Safaricom Ltd Ord 0.05,"Wednesday, August 8, 2012", 3.85 , 3.80 , 3.90 ,2406700.00
Safaricom Ltd Ord 0.05,"Thursday, August 9, 2012", 3.90 , 3.80 , 3.95 ,36747500.00
Safaricom Ltd Ord 0.05,"Friday, August 10, 2012", 3.80 , 3.70 , 3.90 ,10923700.00
Safaricom Ltd Ord 0.05,"Monday, August 13, 2012", 3.75 , 3.70 , 3.90 ,1025600.00
Safaricom Ltd Ord 0.05,"Tuesday, August 14, 2012", 3.75 , 3.70 , 3.85 ,426100.00
Safaricom Ltd Ord 0.05,"Wednesday, August 15, 2012", 3.75 , 3.70 , 3.85 ,1302400.00
Safaricom Ltd Ord 0.05,"Thursday, August 16, 2012", 3.75 , 3.75 , 3.85 ,791600.00
Safaricom Ltd Ord 0.05,"Friday, August 17, 2012", 3.75 , 3.75 , 3.90 ,1264500.00
Safaricom Ltd Ord 0.05,"Tuesday, August 21, 2012", 3.75 , 3.75 , 3.85 ,571500.00
Safaricom Ltd Ord 0.05,"Wednesday, August 22, 2012", 3.85 , 3.75 , 3.95 ,2932000.00
Safaricom Ltd Ord 0.05,"Thursday, August 23, 2012", 3.90 , 3.90 , 3.95 ,2493000.00
Safaricom Ltd Ord 0.05,"Friday, August 24, 2012", 3.90 , 3.90 , 3.95 ,440400.00
